contest,href,index,problem_name,score
weekly-100,/contest/weekly-contest-100/problems/monotonic-array,0,Monotonic Array,2
weekly-100,/contest/weekly-contest-100/problems/increasing-order-search-tree,1,Increasing Order Search Tree,3
weekly-100,/contest/weekly-contest-100/problems/bitwise-ors-of-subarrays,2,Bitwise ORs of Subarrays,6
weekly-100,/contest/weekly-contest-100/problems/orderly-queue,3,Orderly Queue,7
weekly-101,/contest/weekly-contest-101/problems/rle-iterator,0,RLE Iterator,4
weekly-101,/contest/weekly-contest-101/problems/online-stock-span,1,Online Stock Span,4
weekly-101,/contest/weekly-contest-101/problems/numbers-at-most-n-given-digit-set,2,Numbers At Most N Given Digit Set,7
weekly-101,/contest/weekly-contest-101/problems/valid-permutations-for-di-sequence,3,Valid Permutations for DI Sequence,9
weekly-102,/contest/weekly-contest-102/problems/sort-array-by-parity,0,Sort Array By Parity,2
weekly-102,/contest/weekly-contest-102/problems/fruit-into-baskets,1,Fruit Into Baskets,5
weekly-102,/contest/weekly-contest-102/problems/sum-of-subarray-minimums,2,Sum of Subarray Minimums,6
weekly-102,/contest/weekly-contest-102/problems/super-palindromes,3,Super Palindromes,7
weekly-103,/contest/weekly-contest-103/problems/smallest-range-i,0,Smallest Range I,3
weekly-103,/contest/weekly-contest-103/problems/snakes-and-ladders,1,Snakes and Ladders,6
weekly-103,/contest/weekly-contest-103/problems/smallest-range-ii,2,Smallest Range II,6
weekly-103,/contest/weekly-contest-103/problems/online-election,3,Online Election,6
weekly-104,/contest/weekly-contest-104/problems/x-of-a-kind-in-a-deck-of-cards,0,X of a Kind in a Deck of Cards,3
weekly-104,/contest/weekly-contest-104/problems/partition-array-into-disjoint-intervals,1,Partition Array into Disjoint Intervals,5
weekly-104,/contest/weekly-contest-104/problems/word-subsets,2,Word Subsets,6
weekly-104,/contest/weekly-contest-104/problems/cat-and-mouse,3,Cat and Mouse,8
weekly-105,/contest/weekly-contest-105/problems/reverse-only-letters,0,Reverse Only Letters,4
weekly-105,/contest/weekly-contest-105/problems/maximum-sum-circular-subarray,1,Maximum Sum Circular Subarray,6
weekly-105,/contest/weekly-contest-105/problems/complete-binary-tree-inserter,2,Complete Binary Tree Inserter,7
weekly-105,/contest/weekly-contest-105/problems/number-of-music-playlists,3,Number of Music Playlists,8
weekly-106,/contest/weekly-contest-106/problems/sort-array-by-parity-ii,0,Sort Array By Parity II,3
weekly-106,/contest/weekly-contest-106/problems/minimum-add-to-make-parentheses-valid,1,Minimum Add to Make Parentheses Valid,4
weekly-106,/contest/weekly-contest-106/problems/3sum-with-multiplicity,2,3Sum With Multiplicity,6
weekly-106,/contest/weekly-contest-106/problems/minimize-malware-spread,3,Minimize Malware Spread,7
weekly-107,/contest/weekly-contest-107/problems/long-pressed-name,0,Long Pressed Name,4
weekly-107,/contest/weekly-contest-107/problems/flip-string-to-monotone-increasing,1,Flip String to Monotone Increasing,5
weekly-107,/contest/weekly-contest-107/problems/three-equal-parts,2,Three Equal Parts,8
weekly-107,/contest/weekly-contest-107/problems/minimize-malware-spread-ii,3,Minimize Malware Spread II,8
weekly-108,/contest/weekly-contest-108/problems/unique-email-addresses,0,Unique Email Addresses,4
weekly-108,/contest/weekly-contest-108/problems/binary-subarrays-with-sum,1,Binary Subarrays With Sum,5
weekly-108,/contest/weekly-contest-108/problems/minimum-falling-path-sum,2,Minimum Falling Path Sum,5
weekly-108,/contest/weekly-contest-108/problems/beautiful-array,3,Beautiful Array,6
weekly-109,/contest/weekly-contest-109/problems/number-of-recent-calls,0,Number of Recent Calls,4
weekly-109,/contest/weekly-contest-109/problems/knight-dialer,1,Knight Dialer,5
weekly-109,/contest/weekly-contest-109/problems/shortest-bridge,2,Shortest Bridge,6
weekly-109,/contest/weekly-contest-109/problems/stamping-the-sequence,3,Stamping The Sequence,8
weekly-110,/contest/weekly-contest-110/problems/reorder-data-in-log-files,0,Reorder Data in Log Files,4
weekly-110,/contest/weekly-contest-110/problems/range-sum-of-bst,1,Range Sum of BST,4
weekly-110,/contest/weekly-contest-110/problems/minimum-area-rectangle,2,Minimum Area Rectangle,5
weekly-110,/contest/weekly-contest-110/problems/distinct-subsequences-ii,3,Distinct Subsequences II,7
weekly-111,/contest/weekly-contest-111/problems/valid-mountain-array,0,Valid Mountain Array,3
weekly-111,/contest/weekly-contest-111/problems/delete-columns-to-make-sorted,1,Delete Columns to Make Sorted,4
weekly-111,/contest/weekly-contest-111/problems/di-string-match,2,DI String Match,5
weekly-111,/contest/weekly-contest-111/problems/find-the-shortest-superstring,3,Find the Shortest Superstring,8
weekly-112,/contest/weekly-contest-112/problems/minimum-increment-to-make-array-unique,0,Minimum Increment to Make Array Unique,5
weekly-112,/contest/weekly-contest-112/problems/validate-stack-sequences,1,Validate Stack Sequences,6
weekly-112,/contest/weekly-contest-112/problems/most-stones-removed-with-same-row-or-column,2,Most Stones Removed with Same Row or Column,6
weekly-112,/contest/weekly-contest-112/problems/bag-of-tokens,3,Bag of Tokens,6
weekly-113,/contest/weekly-contest-113/problems/largest-time-for-given-digits,0,Largest Time for Given Digits,4
weekly-113,/contest/weekly-contest-113/problems/flip-equivalent-binary-trees,1,Flip Equivalent Binary Trees,5
weekly-113,/contest/weekly-contest-113/problems/reveal-cards-in-increasing-order,2,Reveal Cards In Increasing Order,5
weekly-113,/contest/weekly-contest-113/problems/largest-component-size-by-common-factor,3,Largest Component Size by Common Factor,8
weekly-114,/contest/weekly-contest-114/problems/verifying-an-alien-dictionary,0,Verifying an Alien Dictionary,4
weekly-114,/contest/weekly-contest-114/problems/array-of-doubled-pairs,1,Array of Doubled Pairs,5
weekly-114,/contest/weekly-contest-114/problems/delete-columns-to-make-sorted-ii,2,Delete Columns to Make Sorted II,6
weekly-114,/contest/weekly-contest-114/problems/tallest-billboard,3,Tallest Billboard,8
weekly-115,/contest/weekly-contest-115/problems/check-completeness-of-a-binary-tree,0,Check Completeness of a Binary Tree,5
weekly-115,/contest/weekly-contest-115/problems/prison-cells-after-n-days,1,Prison Cells After N Days,6
weekly-115,/contest/weekly-contest-115/problems/regions-cut-by-slashes,2,Regions Cut By Slashes,7
weekly-115,/contest/weekly-contest-115/problems/delete-columns-to-make-sorted-iii,3,Delete Columns to Make Sorted III,7
weekly-116,/contest/weekly-contest-116/problems/n-repeated-element-in-size-2n-array,0,N-Repeated Element in Size 2N Array,2
weekly-116,/contest/weekly-contest-116/problems/maximum-width-ramp,1,Maximum Width Ramp,5
weekly-116,/contest/weekly-contest-116/problems/minimum-area-rectangle-ii,2,Minimum Area Rectangle II,5
weekly-116,/contest/weekly-contest-116/problems/least-operators-to-express-number,3,Least Operators to Express Number,9
weekly-117,/contest/weekly-contest-117/problems/univalued-binary-tree,0,Univalued Binary Tree,3
weekly-117,/contest/weekly-contest-117/problems/numbers-with-same-consecutive-differences,1,Numbers With Same Consecutive Differences,5
weekly-117,/contest/weekly-contest-117/problems/vowel-spellchecker,2,Vowel Spellchecker,6
weekly-117,/contest/weekly-contest-117/problems/binary-tree-cameras,3,Binary Tree Cameras,8
weekly-118,/contest/weekly-contest-118/problems/powerful-integers,0,Powerful Integers,3
weekly-118,/contest/weekly-contest-118/problems/pancake-sorting,1,Pancake Sorting,5
weekly-118,/contest/weekly-contest-118/problems/flip-binary-tree-to-match-preorder-traversal,2,Flip Binary Tree To Match Preorder Traversal,6
weekly-118,/contest/weekly-contest-118/problems/equal-rational-numbers,3,Equal Rational Numbers,8
weekly-119,/contest/weekly-contest-119/problems/k-closest-points-to-origin,0,K Closest Points to Origin,3
weekly-119,/contest/weekly-contest-119/problems/largest-perimeter-triangle,1,Largest Perimeter Triangle,4
weekly-119,/contest/weekly-contest-119/problems/subarray-sums-divisible-by-k,2,Subarray Sums Divisible by K,6
weekly-119,/contest/weekly-contest-119/problems/odd-even-jump,3,Odd Even Jump,8
weekly-120,/contest/weekly-contest-120/problems/squares-of-a-sorted-array,0,Squares of a Sorted Array,2
weekly-120,/contest/weekly-contest-120/problems/longest-turbulent-subarray,1,Longest Turbulent Subarray,5
weekly-120,/contest/weekly-contest-120/problems/distribute-coins-in-binary-tree,2,Distribute Coins in Binary Tree,6
weekly-120,/contest/weekly-contest-120/problems/unique-paths-iii,3,Unique Paths III,7
weekly-121,/contest/weekly-contest-121/problems/string-without-aaa-or-bbb,0,String Without AAA or BBB,4
weekly-121,/contest/weekly-contest-121/problems/time-based-key-value-store,1,Time Based Key-Value Store,5
weekly-121,/contest/weekly-contest-121/problems/minimum-cost-for-tickets,2,Minimum Cost For Tickets,5
weekly-121,/contest/weekly-contest-121/problems/triples-with-bitwise-and-equal-to-zero,3,Triples with Bitwise AND Equal To Zero,7
